anybody,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも（会話的）,代名詞,There wasn't anybody in the house.,家の中には誰もいなかった。
anyone,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも（文章的）,代名詞,It's not something anyone can do.,それは誰にでもできるというものではない。
everybody,みんな；誰でも（会話的）,代名詞,It was apparent to everybody that our team was stronger.,我々のチームのほうが強いのはだれの目にも明らかであった。
everyone,みんな；誰でも（文章的）,代名詞,I can only wonder if this is the same for everyone else.,みんなもそうなのかな、と思うことくらいしかできない。
everything,すべてのこと・もの,代名詞,One can't expect everything from schools.,学校に全てを求めることはできない。
her,彼女の；彼女を,代名詞,I can't tell her now. It's not that simple anymore.,もう彼女には言えないよ。そんなに単純なことではなくなってきたからね。
herself,彼女自身,代名詞,Lucy was beside herself with excitement.,ルーシーは興奮して我を忘れた。
him,彼を,代名詞,I would like to give him a present for his birthday.,彼の誕生日に贈り物をあげたいんです。
himself,彼自身,代名詞,The man in the corner addressed himself to the husband.,隅にいた男の人が夫に話しかけた。
his,彼の；彼のもの,代名詞,I would like to give him a present for his birthday.,彼の誕生日に贈り物をあげたいんです。
it,(先行するものを指して)それ,代名詞,Today is June 18th and it is Muiriel's birthday!,今日は６月１８日で、ムーリエルの誕生日です！
itself,それ自体,代名詞,The frame itself is worth more than the picture.,額そのもののほうが絵よりも高価です。
me,私を,代名詞,I told them to send me another ticket.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。
mine,私のもの,代名詞,If your answer is correct， it follows that mine is wrong.,君の答えが正しければ、私の答えは間違っていることになる。
much,たくさんの，非常に；だいたい,代名詞,It's not much of a surprise， is it?,そんなに驚くことじゃないよね？
myself,私自身,代名詞,I'm beside myself with joy.,うれしさで舞い上がっています。
nobody,誰も～ない,代名詞,What if you gave a speech and nobody came?,君が演説をして誰も来なかったらどうするの？
none,何も～ない；誰も～ない,代名詞,You look as if it were none of your business.,君はまるで人ごとみたいな顔をしているね。
nothing,何も～ない,代名詞,I have nothing better to do.,それをするより他はない。
ourselves,私たち自身,代名詞,We enjoyed ourselves to the fullest.,我々は心ゆくまで楽しんだ。
plenty,たくさん,代名詞,You had plenty of time.,時間はたっぷりあった。
she,彼女,代名詞,Whatever I do， she says I can do better.,私が何をしようと彼女はもっとうまくできると言うんだ。
somebody,誰か(会話的),代名詞,It's a pity when somebody dies.,誰かが亡くなったときは悲しいものだよ。
someone,誰か（文章的）,代名詞,Hold on， someone is knocking at my door.,待って。誰かが私のドアを叩きました。
something,何か,代名詞,It would be something I'd have to program.,それは私が調整しなければいけなかった何かだったんだろう。
them,彼らを；彼女らを；それらを,代名詞,I'll call them tomorrow when I come back.,明日帰ったら電話します。
themselves,彼ら自身；彼女ら自身；それら自体,代名詞,All the children sat up and behaved themselves at the party.,パーティーでは、子供たちは皆寝ずに起きていて行儀よく振る舞った。
they,彼ら；彼女ら；それら,代名詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。
us,私たちを,代名詞,You're coming with us now.,君は今私たちと一緒に来るのだ。
we,私たち,代名詞,Their communication may be much more complex than we thought.,彼らのコミュニケーションは我々が考えてきたものよりはるかに複雑かもしれません。
who,誰,代名詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。
whom,誰を；誰に；～する人,代名詞,For whom will you vote for president?,会長選挙でだれに投票しますか。
whose,誰の,代名詞,Throw away the chairs whose legs are broken.,脚の壊れている椅子は捨てなさい。
you,あなた,代名詞,It's because you don't want to be alone.,それはあなたが一人になりたくないからです。
yourself,あなた自身,代名詞,How many times a day do you look at yourself in the mirror?,一日に何回鏡で自分を見ているの？
he,彼,代名詞,Sometimes he can be a strange guy.,彼は時々変です。
