abandon,(人を)見捨てる;  あきらめる,動詞,We made a pact that we wouldn't abandon one another.,我々は互いに相手を見捨てないと約束した。
abortion,流産；中絶,名詞,The independent candidate took the abortion issue off his platform.,その無所属候補者は中絶問題を公約からはずしました。
abroad,海外に,副詞,The number of students who travel abroad for vacation is increasing.,休暇を利用して海外旅行をする学生がますます増えている。
absence,不在；欠席；不足,名詞,The teacher was worried by Tom's frequent absence from class.,教師はトムのたび重なる欠席を心配した。
abstract,抽象的な;  理論的な,形容詞,The theory is too abstract for me.,その理論は私にはちんぷんかんぷんだ。
abuse,乱用する,動詞,Words of abuse poured from his lips.,ののしりの言葉が彼の口をついて出てきた。
academic,学者； 大学教授,名詞,Debate is an academic game between the affirmative and the negative.,ディベートとは肯定側と否定側で交わされる知的ゲームである。
accommodation,宿泊施設,名詞,The hotel has accommodation for one hundred.,そのホテルには１００人を収容する施設がある。
accompany,同行する；付随して起こる,動詞,May we accompany you on your walk?,君の散歩に付いていってもよいですか。
accomplish,（任務を）達成する,動詞,Come what may， I am determined to accomplish it.,何事が起ころうとも、私はそれをなしとげる決心である。
accurate,正確な,形容詞,Give me an accurate report of what happened.,何が起こったのか正確な報告をしなさい。
achieve,（目標を）達成する,動詞,We must achieve our aim at any price.,我々はいかなる犠牲をはらっても目標を達成せねばならぬ。
achievement,達成；成果,名詞,His achievements were acknowledged.,彼の功績は認められた。
acknowledge,認める,動詞,You should acknowledge your failure.,君は失敗を認めるべきだ。
acquire,獲得する；習得する,動詞,Is it possible to acquire the bestseller in the bookstore in Akita?,そのベストセラーを秋田の書店で入手できますか。
acquisition,獲得；買収,名詞,Matt is a powerful acquisition for our team.,マットは我々のチームの強力な新メンバーだ。
adequate,適正な；十分な,形容詞,That threw adequate light on his feelings toward her.,それが彼女に対する彼の気持ちを十分に明らかにした。
adjust,順応する,動詞,You are a busy man， so I will adjust myself to your schedule.,君は忙しい人なのだから、私が君の予定に合わせます。
adjustment,適応,名詞,You can adjust the seat height by moving the adjustment lever up.,調節レバーを上に上げると座面の高さを調節できます。
administration,管理,名詞,Our school administration decided to do away with that school rule.,学校当局はその校則を廃止することに決定した。
adopt,採用する；取り入れる,動詞,We have decided to adopt your idea.,君の考えを採用することにした。
advocate,提唱する；主張する,動詞,You should advocate disarmament.,君は軍備縮小を支持すべきだ。
agency,代理店,名詞,Does she come from the agency that sent the last temporary I had?,この娘はこの前のバイトをよこした代理店から送られてきたのか。
agenda,議題;  政策;  方針,名詞,The agenda for the meeting has been distributed.,会議の議題が配布された。
aggressive,積極的な; 攻撃的な; 好戦的な,形容詞,The aggressive salesman urged me to sign the contract right away.,強引な販売員がすぐに契約書に署名するよう強く迫った。
agricultural,農業の,形容詞,Global agricultural output was expanding.,世界的な農業生産高は伸びていた。
aim,目指す;  狙う;  銃や矢を～に向ける,名詞,We must achieve our aim at any price.,我々はいかなる犠牲をはらっても目標を達成せねばならぬ。
aircraft,航空機,名詞,That aircraft company deals in freight only.,その航空会社は貨物のみを扱っている。
airline,航空会社,名詞,Corsairfly is an airline based in Paris.,コールセルフライはパリに本拠を置く航空会社です。
album,(写真の)アルバム,名詞,The album will have been completed by next July.,そのアルバムは次の７月までには完成されているだろう。
allege,主張する,動詞,He is alleged to have stolen the jewelry.,彼は宝石を盗んだといわれている。
ally,同盟国,名詞,Let's ally ourselves to that group.,我々はその団体に参加しよう。
alongside,～と並んで；～のそばに；～と平行して,前置詞,Houses were lined up alongside the highway.,街道沿いに家が並んでいた。
alternative,選択肢；代替案,名詞,Is there no alternative to what you propose?,君の提案することのほかに方法はないのか。
amendment,改正,名詞,In accordance with amendments to the Civil Code，,民放の改正に従い、
analysis,分析,名詞,I beg to differ， as I disagree with your analysis of the situation.,君と違ってその状況分析には賛成できないよ。
analyst,分析家；アナリスト,名詞,financial analyst,金融アナリスト
analyze,分析する,動詞,Let's analyze the machine.,その機械を分解してみよう。
ancient,古代の,形容詞,We discovered relics of an ancient civilization.,我々は古代文明の遺跡を発見した。
