access,アクセス；接近,名詞,A bridge gives access to the island.,橋でその島へ渡れるようになっている。
accident,事故；偶然,名詞,It is true that he did it， whether by accident or by design.,偶然であれ故意であれ、彼がそれをしたのは本当だ。
accuse,訴える；非難する,動詞,Why do you accuse my son?,君はなぜ私の息子を非難するのか。
active,活動的な；能動的な,形容詞,Observation is a passive science， experimentation an active science.,観察は消極的な科学であり、実験は積極的な科学である。
activity,活動,名詞,The office was full of activity all day.,その事務所は一日中活気に満ちていた。
adapt,適応する,動詞,You must adapt to a variety of conditions.,君は様々な状況に適応しなければならない。
admire,賞賛する；感心する,動詞,I admire you for your courage.,君の勇気には全く感服する。
adult,大人，成人,名詞,"And yet， in the ""real adult world"" there are a lot of competitions.",だが、「実際の大人の世界」では、競争はたくさんある。
advance,前進する，進む,動詞,I received a five hundred dollar advance on my pay.,給料をかたに私に５００ドルが、前払いされた。
advantage,利点,名詞,You must not take advantage of her innocence.,君は彼女の無邪気さに付け込んではいけない。
adventure,冒険,名詞,Cookie likes adventure stories.,クッキーは冒険のお話が好きだ。
advice,助言,名詞,You should ask your father for his advice and follow it.,君はお父さんの助言を聞いてそれに従うべきだ。
advise,忠告する; 勧める,動詞,I advise you to be careful in making notes for the lecture.,君は細心の注意を払って講義ノートを作成したほうがいい。
adviser,助言者；顧問,名詞,He advised caution.,彼は用心するように忠告した。
affair,事件;  事柄;  問題,名詞,We must study the affair as a whole.,われわれはその事件を全体として研究しなければならない。
affect,影響する,動詞,Does the amount of rain affect the growth of crops?,雨の量が作物の生育に影響するのですか。
agent,代理人;  エージェント,名詞,In case of an emergency， get in touch with my agent right away.,緊急の際には、すぐに私の代理人と連絡を取って下さい。
aid,援助する,動詞,The tape recorder is a useful aid to teaching.,テープレコーダーは有用な教具です。
alarm,警報；アラーム,名詞,The fire alarm sounded.,火災報知器が鳴った。
alcohol,アルコール飲料,名詞,Driving after drinking alcohol is not acceptable behavior.,飲酒運転が許される行為ではない。
alive,生きている,形容詞,For some reason I feel more alive at night.,私はなぜか夜の方が元気だ。
alter,変更する,動詞,The slave was anxious to alter his destiny.,その奴隷は自分の運命を変えたいと強く思っていた。
altogether,完全に；全部で；要するに,副詞,That's altogether wrong.,それは全く間違いです。
anger,怒らせる,動詞,We were filled with anger against the murderer.,我々は殺人者に対する怒りで胸一杯になった。
announce,知らせる；公表する,動詞,The mayor will shortly announce his decision to resign.,市長は近く辞意を表明するだろう。
announcement,お知らせ,名詞,The announcement brought him to his feet.,その発表を聞いて彼は飛び上がった。
anxious,心配している,形容詞,I have been anxious about your health.,君の健康が気になっている。
apartment,アパート,名詞,Is your apartment well maintained?,君のアパートは管理がいいですか。
appeal,訴える,動詞,Television has a great appeal for him.,テレビは彼には大きな魅力がある。
application,申し込み； 申請,名詞,It is important that you attach your photo to the application form.,君の写真を申込書に添付することを忘れないでね。
apply,申し込む；申請する,動詞,You should apply for that post.,君はその職に応募すべきだ。
appoint,任命する； 指定する,動詞,The committee met and discussed whom to appoint to the post.,委員が集まり、誰をそのポストに任命すべきか論じた。
appointment,予約； 約束,名詞,I canceled my appointment because of urgent business.,緊急の用事ができたので約束を取り消した。
appreciate,ありがたく思う；感謝する,動詞,I appreciate your concern.,気にかけていただいてどうも。
approach,近づく； 接近する,動詞,We suggested Kyoritsu Bussan approach you for assistance.,共立物産に、貴社にご助力をお願いするよう提案しました。
